,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randomseed,[1],modified_value,[i],x[1.000000],from,[1],,,,,,,,,,,,,,,,,,,,,,,
drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs[-1],delta_obs[-2],delta_obs[-3],delta_wall,cont_s_des,cont_s_l,cont_s_f2,cont_s_f3,cont_s_obs[-1],cont_s_obs[-2],cont_s_obs[-3],cont_s_wall,dist_d_obs_ltr,dist_d_obs_dia,dist_d_obs_btt,relative_s_obs_dia,dist_first_saw,dist_biggest_infl,dist_closest,accu_infl,max_relative_s,extra_dist_with_1st,extra_dist_with_2nd,extra_dist_with_3rd
1,57,0.0662631512,0.000398701,0,0,0,0.0015669565,0,0,0.9711902128,0.0058435869,0,0,0,0.0229662003,0,0,2.0311880768,0.4317601492,0.5324453276,0.1806356074,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,58,0.0616203961,9.03832328057E-05,0,0,0,0.0052245505,0,0,0.9205959886,0.0013503068,0,0,0,0.0780537046,0,0,2.0093864554,0.4116392128,0.4974338331,0.1432764579,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,59,0.0613154031,0.0004285269,0,0,0,0.0078587645,0,0,0.8809343309,0.006156757,0,0,0,0.112908912,0,0,2.0875153613,0.3936266345,0.4910532066,0.1046773957,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,60,0.0654167873,0.0003898043,0,0,0,0.0041905013,0,0,0.934564345,0.0055688639,0,0,0,0.0598667911,0,0,2.0701116577,0.3732578232,0.4596005854,0.0771742906,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,61,0.0577326214,0.0004111653,0,0,0,0.0076365974,0,0,0.8776571034,0.006250576,0,0,0,0.1160923206,0,0,1.9916917131,0.450916768,0.4537635949,0.1792800273,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,62,0.0597571021,7.59038987498E-05,0,0,0,0.0068621368,0,0,0.8959738235,0.0011380724,0,0,0,0.1028881041,0,0,1.9723369793,0.4329252982,0.4224993085,0.1411346369,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,63,0.0610392751,0.0003765441,0,0,0,0.0074022844,0,0,0.8869653746,0.0054715854,0,0,0,0.1075630399,0,0,2.0510197204,0.3868583178,0.417296085,0.1050116498,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,64,0.0641546026,1.85028143535E-05,0,0,0,0.0054308633,0,0,0.9217089741,0.0002658299,0,0,0,0.078025196,0,0,2.0398627671,0.3735380046,0.3943454184,0.0765215057,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,65,0.0571072393,0.0001234127,0,0,0,0.0072037998,0,0,0.8862842432,0.0019153215,0,0,0,0.1118004353,0,0,1.9609178185,0.4352258593,0.3900429248,0.1800441305,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,66,0.0579230472,0.0002438247,0,0,0,0.0085640885,0,0,0.8680085951,0.0036538473,0,0,0,0.1283375576,0,0,1.9494259982,0.4198533029,0.3700445932,0.1420874658,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,67,0.0622950875,9.03942175204E-06,0,0,0,0.005183983,0,0,0.9230527805,0.000133941,0,0,0,0.0768132786,0,0,2.0286053511,0.3417674345,0.3668117509,0.106543174,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,68,0.0652958925,8.72995816315E-05,0,0,0,0.0037192444,0,0,0.9449144745,0.0012633358,0,0,0,0.0538221897,0,0,1.9542273627,0.4134317567,0.3646713675,0.0795911102,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,69,0.057513669,0.000349088,0,0,0,0.0067863779,0,0,0.8896278204,0.0053997319,0,0,0,0.1049724477,0,0,1.9504067198,0.4061920435,0.3604563211,0.1785465871,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,70,0.0595318552,8.94911500836E-05,0,0,0,0.0061078124,0,0,0.9057145464,0.0013615137,0,0,0,0.09292394,0,0,2.0299792514,0.3814020079,0.3598892948,0.1418183619,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,71,0.0608730912,0.0001070702,0,0,0,0.0066063034,0,0,0.9006698517,0.0015841961,0,0,0,0.0977459522,0,0,2.0298689719,0.3731812268,0.3639245809,0.1068999506,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,72,0.0641754587,1.46665605381E-05,0,0,0,0.0048421918,0,0,0.929643701,0.0002124593,0,0,0,0.0701438396,0,0,1.9501464934,0.4501207458,0.3647320887,0.0763338656,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,73,0.0587608278,0.0004009307,0,0,0,0.0047304014,0,0,0.9196876093,0.0062751154,0,0,0,0.0740372752,0,0,1.9459535714,0.4431025057,0.3694649537,0.1809610584,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,74,0.0592920171,0.0004476282,0,0,0,0.0057934159,0,0,0.9047649536,0.0068305706,0,0,0,0.0884044758,0,0,2.025793344,0.3880314303,0.3716078348,0.1425074547,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,75,0.0608730912,0,0,0,0,0.0066063034,0,0,0.9020989533,0,0,0,0,0.0979010467,0,0,2.0226146921,0.3793540728,0.3816412846,0.1066550472,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,76,0.0652958925,0.0004479408,0,0,0,0.0037192444,0,0,0.9400086288,0.0064486177,0,0,0,0.0535427535,0,0,1.9426893422,0.4034012945,0.3850166252,0.0785120984,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,77,0.0574611641,0,0,0,0,0.0071080164,0,0,0.8899162673,0,0,0,0,0.1100837327,0,0,1.9384749167,0.3892965803,0.3981115919,0.1806182568,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,78,0.0581489437,0.0005125949,0,0,0,0.0089760105,0,0,0.859713938,0.0075785556,0,0,0,0.1327075064,0,0,2.0184535479,0.3741594392,0.4025897599,0.1428656945,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,79,0.0629833211,0.000541756,0,0,0,0.005805537,0,0,0.9084489132,0.0078140954,0,0,0,0.0837369914,0,0,2.0190276948,0.3759853189,0.4233103612,0.107406685,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,80,0.0674725157,0.0005593564,0,0,0,0.0030589016,0,0,0.9491036902,0.0078682003,0,0,0,0.0430281094,0,0,1.9390280304,0.3761226715,0.4286922479,0.0840628168,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
